scenario number,scenario id (system+first category+index),target system,alterations to system configuartion,additional context,category,injected fault,scenario description,canonical initial observations,ideal diagnosis example
32,10CC.D.2,10 cubes chain,,,Double,Battery depleted; Disconnected switch 8,Combination of the two failures,The led on the power supply module is off; All the leds on the control modules are off; The lamp does not turn on when battery is inserted and all switches are on,Initial observations > belief: battery is KO > test battery > replace battery > belief: there is another failure > observe LED indicators > belief: open somewhere just after control module 7 > inspect connections in control module 8 > adjust cable
33,10CC.D.3,10 cubes chain,,,Double,Disconnected switch 3; Disconnected switch 8,Combination of the two failures,"The led on the power supply module is on; All the leds on the control modules before and including number 3 are off, the others are on; The lamp does not turn on when battery is inserted and all switches are on",Initial observations > belief: open somewhere just after control module 2 > inspect connections in control module 3 > adjust cable > belief: there is another failure > observe LED indicators  >  belief: open somewhere just after control module 7 > inspect connections in control module 8 > adjust cable
34,10CC.D.4,10 cubes chain,,,Double,Burned lamp; Disconnected switch 3,Combination of the two failures,"The led on the power supply module is on; All the leds on the control modules before and including number 3 are off, the others are on; The lamp does not turn on when battery is inserted and all switches are on",Initial observations > belief: open somewhere just after control module 2 > inspect connections in control module 3 > adjust cable > belief: there is another failure > observe LED indicators  > belief: load KO > observe small lamp indicator to split the possible fault location in load or control module> belief: lamp KO > test lamp > replace lamp
35,10CC.D.5,10 cubes chain,,,Double,Burned lamp; Disconnected switch 8,Combination of the two failures,"The led on the power supply module is on; All the leds on the control modules before and including number 8 are off, the others are on; The lamp does not turn on when battery is inserted and all switches are on",Initial observations > belief: open somewhere just after control module 7 > inspect connections in control module 8 > adjust cable > belief: there is another failure > observe LED indicators  > belief: load KO > observe small lamp indicator to split the possible fault location in load or control module> belief: lamp KO > test lamp > replace lamp
36,10CC.M.1,10 cubes chain,,,"Misleading, Double",Reversed polarity battery; Reversed supply LED indicator,"Combination of the two failures, misleading because the supply LED indicator being on suggests the issue is in the first control module",The led on the power supply module is on; All the leds on the control modules are off; The lamp does not turn on when battery is inserted and all switches are on,Initial observations > belief: open somewhere just after supply > inspect connections in control module 1 > test switch 1 > test voltage at control 1 input > belief: problem is voltage inversion upstream of control module 1 > test supply output > test battery > adjust battery
37,10CC.M.2,10 cubes chain,,,"Misleading, Double",Disconnected switch 3; Control 2 LED indicator open,"Combination of the two failures, misleading because the control LED indicator being on suggests the issue is control module preceding the faulted module","The led on the power supply module is on; All the leds on the control modules before and including number 2 are off, the others are on; The lamp does not turn on when battery is inserted and all switches are on","Initial observations > belief: open somewhere just after control module 1 > inspect connections in control module 2 > test switch 2 > belief: control module 2 main function OK, only indicator OK > test control module 2 output > belief: issue just after control module 2 > inspect control module 3 > adjust cable"
38,10CC.M.3,10 cubes chain,,,"Misleading, Double",Disconnected switch 6; Control 5 LED indicator open,"Combination of the two failures, misleading because the control LED indicator being on suggests the issue is control module preceding the faulted module","The led on the power supply module is on; All the leds on the control modules before and including number 5 are off, the others are on; The lamp does not turn on when battery is inserted and all switches are on","Initial observations > belief: open somewhere just after control module 4 > inspect connections in control module 5 > test switch 5 > belief: control module 5 main function OK, only indicator OK > test control module 5 output > belief: issue just after control module 5 > inspect control module 6 > adjust cable"
39,10CC.M.4,10 cubes chain,,,"Misleading, Double",Disconnected switch 8; Control 7 LED indicator open,"Combination of the two failures, misleading because the control LED indicator being on suggests the issue is control module preceding the faulted module","The led on the power supply module is on; All the leds on the control modules before and including number 7 are off, the others are on; The lamp does not turn on when battery is inserted and all switches are on","Initial observations > belief: open somewhere just after control module 6 > inspect connections in control module 7 > test switch 7 > belief: control module 7 main function OK, only indicator OK > test control module 7 output > belief: issue just after control module 7 > inspect control module 8 > adjust cable"
40,10CC.M.5,10 cubes chain,,,"Misleading, Double",Burned lamp; Burned load lamp indicator,"Combination of the two failures, misleading because the load lamp indicator being off suggests the issues is not with the battery",The led on the power supply module is on; All the leds on the control modules are on; The lamp does not turn on when battery is inserted and all switches are on,Initial observations  > belief: load KO or an open in load or after control 8 module > observe small lamp indicator to split the possible fault location in load or control module > belief: open between control module 8 and load> test control module 8 output > inspect connections between control 8 and load > test load input > belief: an open in the load module > test voltage at lamp ports > belief: lamp is KO > test lamp > replace lamp
41,10CC.L.1,10 cubes chain,all control module LED indicators removed,,Limited Observability,Depleted battery,Battery is depleted to 0V,All the control LED indicators are missing; The supply LED is off; The lamp does not turn on when battery is inserted and all switches are on,Initial observations > belief: battery is KO > test battery > replace battery
42,10CC.L.2,10 cubes chain,all control module LED indicators removed,,Limited Observability,Disconnected switch 3,One of the cables connected to switch 3 has been detached,All the control LED indicators are missing; The supply LED is on; The lamp does not turn on when battery is inserted and all switches are on,"Initial observations > belief: open somewhere just after supply module > take supply module LED from holder and use it to test control module, start from control 5 > belief: issue upstream > insert LED in control 3 > belief: issue upstream > insert LED in control 2 > belief: issue in or next control 3 > inspect control 3 > adjust cable "
43,10CC.L.3,10 cubes chain,all control module LED indicators removed,,Limited Observability,Disconnected switch 6,One of the cables connected to switch 6 has been detached,All the control LED indicators are missing; The supply LED is on; The lamp does not turn on when battery is inserted and all switches are on,"Initial observations > belief: open somewhere just after supply module > take supply module LED from holder and use it to test control module, start from control 5 > belief: issue downstram > insert LED in control 8 > belief: issue upstream > insert LED in control 7 > belief: issue in or next control 6 > inspect control 6 > adjust cable "
44,10CC.L.4,10 cubes chain,all control module LED indicators removed,,Limited Observability,Disconnected switch 8,One of the cables connected to switch 8 has been detached,All the control LED indicators are missing; The supply LED is on; The lamp does not turn on when battery is inserted and all switches are on,"Initial observations > belief: open somewhere just after supply module > take supply module LED from holder and use it to test control module, start from control 5 > belief: issue downstram > insert LED in control 8 > belief: issue around control 8 > inspect control 8 > adjust cable "
45,10CC.L.5,10 cubes chain,all control module LED indicators removed,,Limited Observability,Burned lamp,Burned main lamp filaments (lamp failed open),All the control LED indicators are missing; The supply LED is on; The lamp does not turn on when battery is inserted and all switches are on,"Initial observations > belief: open somewhere just after supply module > take supply module LED from holder and use it to test control module, start from control 5 > belief: issue downstram > insert LED in control 8 > belief: issue downstream > inspect control 8 to load connections > inspect load module connections > test lamp > belief: lamp burned > replace lamp"
46,10CC.I.1,10 cubes chain,,,Intermittent,Loose battery-cable connection,"One connection with the battery is loose, randomly resulting in an open circuit",The lamp occasionally turns off even when all switches are in the closed position and when this happens all LED indicators are off (otherwise all the leds and the lamp are on),"Initial observations > belief: some connection loose within the the supply module > [proceeds with a search of the loose connection, without being misled by non-anomalous observations taken when the connection holds]"
47,10CC.I.2,10 cubes chain,,,Intermittent,Loose switch-3-cable connection,"One switch 3 port-cable connection is loose, randomly resulting in an open circuit",The lamp occasionally turns off even when all switches are in the closed position and when this happens all LED indicators after and included the one of control module 3 are off (the remaining are on),"Initial observations > belief: some connection loose downstream of the control module 2 > [proceeds with a search of the loose connection in control module 3, without being misled by non-anomalous observations taken when the connection holds]"
48,10CC.I.3,10 cubes chain,,,Intermittent,Loose switch-6-cable connection,"One switch 6 port-cable connection is loose, randomly resulting in an open circuit",The lamp occasionally turns off even when all switches are in the closed position and when this happens all LED indicators after and included the one of control module 6 are off (the remaining are on),"Initial observations > belief: some connection loose downstream of the control module 5 > [proceeds with a search of the loose connection in control module 6, without being misled by non-anomalous observations taken when the connection holds]"
49,10CC.I.4,10 cubes chain,,,Intermittent,Loose switch-8-cable connection,"One switch 8 port-cable connection is loose, randomly resulting in an open circuit",The lamp occasionally turns off even when all switches are in the closed position and when this happens all LED indicators after and included the one of control module 8 are off (the remaining are on),"Initial observations > belief: some connection loose downstream of the control module 7 > [proceeds with a search of the loose connection in control module 8, without being misled by non-anomalous observations taken when the connection holds]"
50,10CC.I.5,10 cubes chain,,,Intermittent,Loose lamp-cable connection,"One lamp-cable connection is loose, randomly resulting in an open circuit",The lamp occasionally turns off even when all switches are in the closed position; All LED indicators are always on,"Initial observations > belief: some connection loose downstream of the control module 8 > [proceeds with a search of the loose connection in the load module or in the control-8-load connection, without being misled by non-anomalous observations taken when the connection holds]"
51,DCAC.S.1,Doubly connected asymmetric chains,,,Simple,Disconnected switch 1,One of the cables connected to switch 1 has been detached,Lamp 1 does not turn even when all switches are closed; All LED indicators are on except for control 1 indicator,Initial observations > belief: open inside of control module 1 > inspect control module 1 connections > adjust cable
52,DCAC.S.2,Doubly connected asymmetric chains,,,Simple,Disconnected switch 3,One of the cables connected to switch 3 has been detached,Lamp 2 does not turn even when all switches are closed; All LED indicators are on except for control 3 indicator,Initial observations > belief: open inside of control module 3 > inspect control module 3 connections > adjust cable
53,DCAC.S.3,Doubly connected asymmetric chains,,,Simple,Polarizing lamp 1 diode open,Polarizing lamp 1 diode failed open in load module 1,Lamp 1 does not turn even when all switches are closed; All LED indicators are on,Initial observations  > belief: load KO or an open in load or control module > observe small lamp indicator to split the possible fault location in load or control module > belief: open in control module > inspect connections inside control module > test switch > belief: fault in load module (not lamp) or between control and load modules > inspect control-load connections > inspect connections inside of load module > test polarizing diode > replace polarizing diode
54,DCAC.S.4,Doubly connected asymmetric chains,,,Simple,Burned lamp 1,Burned main lamp 1 filaments (lamp failed open),Lamp 1 does not turn even when all switches are closed; All LED indicators are on,Initial observations  > belief: load KO or an open in load or control module > observe small lamp 1 indicator > belief: lamp 1 KO > test lamp 1 > replace lamp 1
55,DCAC.S.5,Doubly connected asymmetric chains,,,Simple,Burned lamp 2,Burned main lamp 2 filaments (lamp failed open),Lamp 2 does not turn even when all switches are closed; All LED indicators are on,Initial observations  > belief: load KO or an open in load or control module > observe small lamp 2 indicator > belief: lamp 2 KO > test lamp 2 > replace lamp 2
56,DCAC.D.1,Doubly connected asymmetric chains,,,Double,Battery 1 depleted; Battery 2 depleted,Combination of the two failures,Lamp 1 and lamp 2 do not turn on even when all switches are closed; All LED indicators are off,Initial observations > belief: double failure in battery 1 and battery 2 > test battery 1 and 2 > replace battery 1 and 2
57,DCAC.D.2,Doubly connected asymmetric chains,,,Double,Battery 2 depleted; Disconnected switch 1,Combination of the two failures,Lamp 1 and lamp 2 do not turn on even when all switches are closed; All LED indicators are off except for supply 1 indicator,Initial observations > belief: double failure in supply 2 and in or just upstream of control 1 > test battery 2 > replace battery 2 > inspect input connections of control 1 > inspect connections inside control 1 > adjust cable
58,DCAC.D.3,Doubly connected asymmetric chains,,,Double,Disconnected switch 1; Disconnected switch 2,Combination of the two failures,Lamp 1 and lamp 2 do not turn on even when all switches are closed; All LED indicators are off except for supply 1 and supply 2 indicators,Initial observations > belief: double failure in or just upstream of control 1 and 2 > inspect input connections of control 1 and 2 > inspect connections inside control 1 and 2 > adjust cable in control 1 and cable in control 2
59,DCAC.D.4,Doubly connected asymmetric chains,,,Double,Disconnected switch 3; Burned lamp 1,Combination of the two failures,Lamp 1 and lamp 2 do not turn on even when all switches are closed; All LED indicators are on except for control 3 indicator,Initial observations > belief: double failure in or just upstream of control 3 and lamp 1 > inspect input connections of control 3 and load 1 > inspect connections inside control 3  > adjust cable in control 3 > look at the small lamp indicator in load 1 > test lamp 1 > replace lamp 1
60,DCAC.D.5,Doubly connected asymmetric chains,,,Double,Burned lamp 1; Burned lamp 2,Combination of the two failures,Lamp 1 and lamp 2 do not turn on even when all switches are closed; All LED indicators are on,Initial observations > belief: double failure in or just upstream of lamp 1 and lamp 2 > look at the small lamp indicator in load 1 and load 2 > test lamp 1 and 2 > replace lamp 1 and 2
61,DCAC.M.1,Doubly connected asymmetric chains,,,"Misleading, Double",Disconnected switch 1; Supply 1 LED indicator open,"Combination of the two failures, misleading because the supply 1 LED indicator being off suggests the issue is in the first supply module",Lamp 1 does not turn even when all switches are closed; All LED indicators are on except for control 1 indicator and supply 1 indicator,Initial observations > belief: double failure in battery 1 and control 1 (or between supply 1 and control 1) > test battery 1 > inspect connections inside supply 1 > thest voltage at supply 1 output > belief: one issue is with the supply 1 indicator itself > inspect supply 1 indicator > replace supply 1 indicator > inspect connections between supply 1 and control 1 > inspect connections inside control 1 > adjust cable
62,DCAC.M.2,Doubly connected asymmetric chains,,,"Misleading, Triple",Disconnected switch 1; Disconnected switch 2; Supply 2 indicator LED open,"Combination of the three failures, misleading because the supply 2 LED indicator being off suggests issue is in supply module instead of the control modules",Lamp 1 and lamp 2 do not turn even when all switches are closed; All LED indicators are off except for supply 1 indicator,Initial observations > belief: double failure in supply 2 and in or just upstream of control 1 > test battery 2 > inspect connections inside supply 2 > test supply 2 output > belief: supply 2 indicator KO > test supply 2 indicator > replace supply 2 indicator > belief: double failure in or just upstream of control 1 and 2 > inspect input connections of control 1 and 2 > inspect connections inside control 1 and 2 > adjust cable in control 1 and cable in control 2
63,DCAC.M.3,Doubly connected asymmetric chains,,,"Misleading, Double",Burned lamp 1; Load 1 indicator lamp open,"Combination of the two failures, misleading because the lamp indicator being off suggests the issue is upstream of the load module",Lamp 1 does not turn even when all switches are closed; All LED indicators are on,Initial observations  > belief: load KO or an open in load or after control 1 module > observe small lamp indicator to split the possible fault location in load or control module > belief: open between control module 1 and load> test control module 1 output > inspect connections between control 1 and load 1 > test load 1 input > belief: an open in the load 1 module > test voltage at lamp 1 ports > belief: lamp 1 is KO > test lamp 1 > replace lamp 1
64,DCAC.M.4,Doubly connected asymmetric chains,,,"Misleading, Double",Burned lamp 2; Supply 2 LED indicator open,"Combination of the two failures, misleading because the supply 2 LED indicator being off suggests the issue is in supply 2",Lamp 2 does not turn even when all switches are closed; All LED indicators are on except for supply 2 indicator,Initial observations  > belief: load KO or an open in load or control module > observe small lamp 2 indicator > belief: lamp 2 KO > test lamp 2 > replace lamp 2
65,DCAC.M.5,Doubly connected asymmetric chains,,,"Misleading, Double",Burned lamp 2; Control 3 LED indicator open,"Combination of the two failures, misleading because control 3 indicator being off suggests the issue is upstream of the load module",Lamp 2 does not turn even when all switches are closed; All LED indicators are on except for control 3 indicator,Initial observations > belief: open inside of control module 3 > inspect control module 3 connections > test switch 3 > belief: no belief > test control 3 output > belief: control 3 indicator KO > test control 3 indicator > replace control 3 indicator > belief: open somewhere in load module 2 or just upstream of it > observe small load 2 indicator lamp > belief: lamp 2 KO > test lamp 2 > replace lamp 2 
66,DCAC.L.1,Doubly connected asymmetric chains,all LED indicators removed,,Limited Observability,Disconnected switch 1,One of the cables connected to switch 1 has been detached,Lamp 1 does not turn even when all switches are closed; All LED indicators are missing,Initial observations > belief: KO somewhere in control 1 load 1 or between > test control 1 output > belief: issue in control 1 > inspect connections inside control 1 > adjust cable
67,DCAC.L.2,Doubly connected asymmetric chains,all LED indicators removed,,Limited Observability,Disconnected switch 3,One of the cables connected to switch 3 has been detached,Lamp 2 does not turn even when all switches are closed; All LED indicators are missing,Initial observations > belief: KO somewhere in control 3 load 2 or between > test control 3 output > belief: issue in control 3 > inspect connections inside control 3 > adjust cable
68,DCAC.L.3,Doubly connected asymmetric chains,all LED indicators removed,,Limited Observability,Polarizing lamp 1 diode open,Polarizing lamp 1 diode failed open in load module 1,Lamp 1 does not turn even when all switches are closed; All LED indicators are missing,Initial observations > belief: KO somewhere in control 1 load 1 or between > test control 1 output > belief: issue down stream > test load 1 input > observe small lamp indicator in load 1 > inspect connections inside load 1 > test polarizing diode 1 > replace polarizing diode
69,DCAC.L.4,Doubly connected asymmetric chains,all LED indicators removed,,Limited Observability,Burned lamp 1,Burned main lamp 1 filaments (lamp failed open),Lamp 1 does not turn even when all switches are closed; All LED indicators are missing,Initial observations > belief: KO somewhere in control 1 load 1 or between > test control 1 output > belief: issue down stream > test load 1 input > observe small lamp indicator in load 1 > test lamp 1 >replace lamp 1
70,DCAC.L.5,Doubly connected asymmetric chains,all LED indicators removed,,Limited Observability,Burned lamp 2,Burned main lamp 2 filaments (lamp failed open),Lamp 2 does not turn even when all switches are closed; All LED indicators are missing,Initial observations > belief: KO somewhere in control 2 load 2 or between > test control 2 output > belief: issue down stream > test load 2 input > observe small lamp indicator in load 2 > test lamp 2 >replace lamp 2
71,DCAC.I.1,Doubly connected asymmetric chains,,,"Intermittent, Double",Loose battery-1-cable connection; loose battery-2-cable connection,"One connection with the battery is loose, randomly resulting in an open circuit, in each supply module","Both lamps occasionally turn off, sometimes independently, even when all switches are in the closed position and when this happens all LED indicators are off (otherwise all the leds and the lamps are on)","Initial observations > belief: some connection loose within both supply modules > [proceeds with a search of the loose connection, without being misled by non-anomalous observations taken when the connection holds]"
72,DCAC.I.2,Doubly connected asymmetric chains,,,Intermittent,Loose switch-1-cable connection,"One switch 1 port-cable connection is loose, randomly resulting in an open circuit","Lamp 1 occasionally turns off, even when all switches are in the closed position (when this happens control 1 indicator also turns off), the remaining LED indicators are always on","Initial observations > belief: some connection loose around control module 1 > [proceeds with a search of the loose connection in control module 1, without being misled by non-anomalous observations taken when the connection holds]"
